"geo","time","high_technology_exports_percent_of_manufactured_exports"
"bdi",1993,0.04059
"bdi",1994,1.06341
"bdi",1995,0.19687
"bdi",1998,1.4886
"bdi",1999,0.33196
"bdi",2000,0.02939
"bdi",2001,2.41317
"bdi",2002,22.34362
"bdi",2003,12.08864
"bdi",2004,5.8742
"bdi",2005,4.19278
"bdi",2006,3.13825
"bdi",2007,2.1647
"bdi",2008,7.515
"bdi",2009,11.53698
"bdi",2010,8.49567
"bdi",2011,0.00025
"bdi",2012,2.74735
"bdi",2013,0.28471
"bdi",2014,1.28347
"bdi",2015,3.49174
"ken",1990,4.03289
"ken",1991,3.03145
"ken",1992,1.57791
"ken",1993,2.35385
"ken",1994,3.39917
"ken",1995,3.58529
"ken",1996,4.0386
"ken",1997,4.43018
"ken",1998,4.49828
"ken",1999,3.27886
"ken",2000,3.88132
"ken",2001,4.94036
"ken",2002,10.64697
"ken",2003,3.59829
"ken",2004,3.20422
"ken",2005,2.8994
"ken",2006,3.24175
"ken",2007,5.50939
"ken",2008,4.15034
"ken",2009,5.31064
"ken",2010,5.69922
"ken",2013,3.7586
"rwa",1996,0.59888
"rwa",1997,3.09685
"rwa",1998,2.16698
"rwa",1999,0.60196
"rwa",2001,1.52314
"rwa",2002,83.64026
"rwa",2003,27.00414
"rwa",2004,19.88993
"rwa",2005,25.34354
"rwa",2006,16.28882
"rwa",2007,16.33284
"rwa",2008,6.7139
"rwa",2009,11.63874
"rwa",2010,5.36846
"rwa",2011,6.16039
"rwa",2012,2.46893
"rwa",2013,6.51641
"rwa",2014,11.89914
"rwa",2015,12.98356
"rwa",2016,12.28155
"tza",1997,0.18045
"tza",1998,3.45197
"tza",1999,5.92348
"tza",2000,1.16758
"tza",2001,1.59087
"tza",2002,0.74126
"tza",2003,1.40929
"tza",2004,0.82097
"tza",2005,1.10501
"tza",2006,0.5635
"tza",2007,1.50182
"tza",2008,1.53492
"tza",2009,3.04227
"tza",2010,3.47835
"tza",2011,5.40494
"tza",2012,10.17041
"tza",2013,5.41625
"tza",2014,2.73667
"tza",2015,0.7599
"tza",2016,2.0154
"uga",1994,10.991
"uga",1995,2.1071
"uga",1996,0.24993
"uga",1997,1.29193
"uga",1998,4.58832
"uga",1999,10.71196
"uga",2000,4.35693
"uga",2001,12.86703
"uga",2002,15.32203
"uga",2003,6.30119
"uga",2004,3.28155
"uga",2005,12.4982
"uga",2006,33.75624
"uga",2007,10.48942
"uga",2008,1.25554
"uga",2009,1.08232
"uga",2010,2.3709
"uga",2011,21.94
"uga",2012,20.65066
"uga",2013,1.86763
"uga",2014,2.44269
"uga",2015,1.82777
"uga",2016,1.83254
