"geo","time","total_population_with_projections"
"bdi",1800,899100
"bdi",1820,899100
"bdi",1950,2456000
"bdi",1951,2505000
"bdi",1952,2551000
"bdi",1953,2595000
"bdi",1954,2640000
"bdi",1955,2687000
"bdi",1956,2735000
"bdi",1957,2784000
"bdi",1958,2836000
"bdi",1959,2888000
"bdi",1960,2940000
"bdi",1961,2993000
"bdi",1962,3045000
"bdi",1963,3099000
"bdi",1964,3154000
"bdi",1965,3213000
"bdi",1966,3275000
"bdi",1967,3341000
"bdi",1968,3407000
"bdi",1969,3465000
"bdi",1970,3513000
"bdi",1971,3550000
"bdi",1972,3577000
"bdi",1973,3602000
"bdi",1974,3634000
"bdi",1975,3680000
"bdi",1976,3742000
"bdi",1977,3819000
"bdi",1978,3910000
"bdi",1979,4014000
"bdi",1980,4130000
"bdi",1981,4257000
"bdi",1982,4396000
"bdi",1983,4542000
"bdi",1984,4695000
"bdi",1985,4851000
"bdi",1986,5008000
"bdi",1987,5166000
"bdi",1988,5321000
"bdi",1989,5467000
"bdi",1990,5602000
"bdi",1991,5724000
"bdi",1992,5835000
"bdi",1993,5933000
"bdi",1994,6017000
"bdi",1995,6087000
"bdi",1996,6140000
"bdi",1997,6181000
"bdi",1998,6224000
"bdi",1999,6284000
"bdi",2000,6374000
"bdi",2001,6500000
"bdi",2002,6656000
"bdi",2003,6839000
"bdi",2004,7040000
"bdi",2005,7251000
"bdi",2006,7474000
"bdi",2007,7708000
"bdi",2008,7943000
"bdi",2009,8171000
"bdi",2010,8383000
"bdi",2011,8575000
"bdi",2012,8749000
"bdi",2013,8911000
"bdi",2050,13700000
"bdi",2100,14590000
"cod",1800,5164000
"cod",1820,5164000
"cod",1950,12180000
"cod",1951,12440000
"cod",1952,12710000
"cod",1953,12980000
"cod",1954,13270000
"cod",1955,13580000
"cod",1956,13910000
"cod",1957,14250000
"cod",1958,14610000
"cod",1959,14980000
"cod",1960,15370000
"cod",1961,15770000
"cod",1962,16180000
"cod",1963,16610000
"cod",1964,17070000
"cod",1965,17540000
"cod",1966,18050000
"cod",1967,18580000
"cod",1968,19130000
"cod",1969,19690000
"cod",1970,20270000
"cod",1971,20850000
"cod",1972,21430000
"cod",1973,22030000
"cod",1974,22660000
"cod",1975,23320000
"cod",1976,24010000
"cod",1977,24740000
"cod",1978,25490000
"cod",1979,26260000
"cod",1980,27020000
"cod",1981,27780000
"cod",1982,28550000
"cod",1983,29340000
"cod",1984,30170000
"cod",1985,31040000
"cod",1986,31960000
"cod",1987,32930000
"cod",1988,33970000
"cod",1989,35120000
"cod",1990,36410000
"cod",1991,37860000
"cod",1992,39440000
"cod",1993,41080000
"cod",1994,42650000
"cod",1995,44070000
"cod",1996,45300000
"cod",1997,46370000
"cod",1998,47370000
"cod",1999,48430000
"cod",2000,49630000
"cod",2001,50990000
"cod",2002,52490000
"cod",2003,54100000
"cod",2004,55750000
"cod",2005,57420000
"cod",2006,59090000
"cod",2007,60770000
"cod",2008,62470000
"cod",2009,64200000
"cod",2010,65970000
"cod",2011,67760000
"cod",2012,69580000
"cod",2013,71420000
"cod",2050,148500000
"cod",2100,212100000
"ken",1800,2574000
"ken",1921,2574000
"ken",1931,3041000
"ken",1949,5406000
"ken",1950,6077000
"ken",1951,6240000
"ken",1952,6412000
"ken",1953,6593000
"ken",1954,6782000
"ken",1955,6980000
"ken",1956,7186000
"ken",1957,7401000
"ken",1958,7626000
"ken",1959,7860000
"ken",1960,8105000
"ken",1961,8361000
"ken",1962,8629000
"ken",1963,8908000
"ken",1964,9200000
"ken",1965,9505000
"ken",1966,9822000
"ken",1967,10150000
"ken",1968,10500000
"ken",1969,10870000
"ken",1970,11250000
"ken",1971,11660000
"ken",1972,12080000
"ken",1973,12530000
"ken",1974,13000000
"ken",1975,13490000
"ken",1976,14000000
"ken",1977,14530000
"ken",1978,15080000
"ken",1979,15660000
