"geo","time","data_quality_income_per_person"
"bdi",1700,5
"bdi",1800,5
"bdi",1899,5
"bdi",1900,5
"bdi",1935,5
"bdi",1936,5
"bdi",1937,5
"bdi",1938,5
"bdi",1939,5
"bdi",1940,5
"bdi",1941,5
"bdi",1942,5
"bdi",1943,5
"bdi",1944,5
"bdi",1945,5
"bdi",1946,5
"bdi",1947,5
"bdi",1948,5
"bdi",1949,5
"bdi",1950,5
"bdi",1951,5
"bdi",1952,5
"bdi",1953,5
"bdi",1954,5
"bdi",1955,5
"bdi",1956,5
"bdi",1957,5
"bdi",1958,5
"bdi",1959,5
"bdi",1960,5
"bdi",1961,5
"bdi",1962,5
"bdi",1963,5
"bdi",1964,5
"bdi",1965,5
"bdi",1966,5
"bdi",1967,5
"bdi",1968,5
"bdi",1969,5
"bdi",1970,5
"bdi",1971,5
"bdi",1972,5
"bdi",1973,5
"bdi",1974,5
"bdi",1975,0
"bdi",1976,0
"bdi",1977,0
"bdi",1978,0
"bdi",1979,0
"bdi",1980,0
"bdi",1981,0
"bdi",1982,0
"bdi",1983,0
"bdi",1984,0
"bdi",1985,0
"bdi",1986,0
"bdi",1987,0
"bdi",1988,0
"bdi",1989,0
"bdi",1990,0
"bdi",1991,0
"bdi",1992,0
"bdi",1993,0
"bdi",1994,0
"bdi",1995,0
"bdi",1996,0
"bdi",1997,0
"bdi",1998,0
"bdi",1999,0
"bdi",2000,0
"bdi",2001,0
"bdi",2002,0
"bdi",2003,0
"bdi",2004,0
"bdi",2005,0
"bdi",2006,0
"bdi",2007,0
"bdi",2008,0
"bdi",2009,0
"bdi",2010,0
"bdi",2011,0
"bdi",2012,0
"cod",1700,5
"cod",1800,5
"cod",1899,5
"cod",1900,5
"cod",1935,5
"cod",1936,5
"cod",1937,5
"cod",1938,5
"cod",1939,5
"cod",1940,5
"cod",1941,5
"cod",1942,5
"cod",1943,5
"cod",1944,5
"cod",1945,5
"cod",1946,5
"cod",1947,5
"cod",1948,5
"cod",1949,5
"cod",1950,0
"cod",1951,0
"cod",1952,0
"cod",1953,0
"cod",1954,0
"cod",1955,0
"cod",1956,0
"cod",1957,0
"cod",1958,0
"cod",1959,0
"cod",1960,0
"cod",1961,0
"cod",1962,0
"cod",1963,0
"cod",1964,0
"cod",1965,0
"cod",1966,0
"cod",1967,0
"cod",1968,0
"cod",1969,0
"cod",1970,0
"cod",1971,0
"cod",1972,0
"cod",1973,0
"cod",1974,0
"cod",1975,0
"cod",1976,0
"cod",1977,0
"cod",1978,0
"cod",1979,0
"cod",1980,0
"cod",1981,0
"cod",1982,0
"cod",1983,0
"cod",1984,0
"cod",1985,0
"cod",1986,0
"cod",1987,0
"cod",1988,0
"cod",1989,0
"cod",1990,0
"cod",1991,0
"cod",1992,0
"cod",1993,0
"cod",1994,0
"cod",1995,0
"cod",1996,0
"cod",1997,0
"cod",1998,0
"cod",1999,0
"cod",2000,0
"cod",2001,0
"cod",2002,0
"cod",2003,0
"cod",2004,0
"cod",2005,0
"cod",2006,0
"cod",2007,0
"cod",2008,0
"cod",2009,0
"cod",2010,0
"cod",2011,0
"cod",2012,0
"ken",1700,5
"ken",1800,5
"ken",1899,5
"ken",1900,5
"ken",1935,5
"ken",1936,5
"ken",1937,5
"ken",1938,5
"ken",1939,5
"ken",1940,5
"ken",1941,5
"ken",1942,5
"ken",1943,5
"ken",1944,5
"ken",1945,5
"ken",1946,5
"ken",1947,5
"ken",1948,5
"ken",1949,5
"ken",1950,0
"ken",1951,0
"ken",1952,0
"ken",1953,0
"ken",1954,0
"ken",1955,0
"ken",1956,0
"ken",1957,0
"ken",1958,0
"ken",1959,0
"ken",1960,0
"ken",1961,0
"ken",1962,0
"ken",1963,0
"ken",1964,0
"ken",1965,0
"ken",1966,0
"ken",1967,0
"ken",1968,0
"ken",1969,0
"ken",1970,0
"ken",1971,0
"ken",1972,0
"ken",1973,0
"ken",1974,0
"ken",1975,0
"ken",1976,0
"ken",1977,0
"ken",1978,0
"ken",1979,0
"ken",1980,0
"ken",1981,0
"ken",1982,0
"ken",1983,0
"ken",1984,0
"ken",1985,0
"ken",1986,0
"ken",1987,0
"ken",1988,0
"ken",1989,0
"ken",1990,0
"ken",1991,0
"ken",1992,0
"ken",1993,0
"ken",1994,0
"ken",1995,0
"ken",1996,0
"ken",1997,0
"ken",1998,0
"ken",1999,0
"ken",2000,0
"ken",2001,0
"ken",2002,0
"ken",2003,0
"ken",2004,0
"ken",2005,0
"ken",2006,0
"ken",2007,0
"ken",2008,0
"ken",2009,0
"ken",2010,0
"ken",2011,0
"ken",2012,0
"rwa",1700,5
"rwa",1800,5
"rwa",1899,5
"rwa",1900,5
"rwa",1935,5
"rwa",1936,5
"rwa",1937,5
"rwa",1938,5
"rwa",1939,5
"rwa",1940,5
"rwa",1941,5
"rwa",1942,5
"rwa",1943,5
"rwa",1944,5
"rwa",1945,5
"rwa",1946,5
"rwa",1947,5
"rwa",1948,5
"rwa",1949,5
"rwa",1950,0
"rwa",1951,0
"rwa",1952,0
"rwa",1953,0
"rwa",1954,0
"rwa",1955,0
"rwa",1956,0
"rwa",1957,0
"rwa",1958,0
"rwa",1959,0
"rwa",1960,0
"rwa",1961,0
"rwa",1962,0
"rwa",1963,0
"rwa",1964,0
"rwa",1965,0
"rwa",1966,0
"rwa",1967,0
"rwa",1968,0
"rwa",1969,0
"rwa",1970,0
"rwa",1971,0
"rwa",1972,0
"rwa",1973,0
"rwa",1974,0
"rwa",1975,0
"rwa",1976,0
"rwa",1977,0
"rwa",1978,0
"rwa",1979,0
"rwa",1980,0
"rwa",1981,0
"rwa",1982,0
"rwa",1983,0
"rwa",1984,0
"rwa",1985,0
"rwa",1986,0
"rwa",1987,0
"rwa",1988,0
"rwa",1989,0
"rwa",1990,0
"rwa",1991,0
"rwa",1992,0
"rwa",1993,0
"rwa",1994,0
"rwa",1995,0
"rwa",1996,0
"rwa",1997,0
"rwa",1998,0
"rwa",1999,0
"rwa",2000,0
"rwa",2001,0
"rwa",2002,0
"rwa",2003,0
"rwa",2004,0
"rwa",2005,0
"rwa",2006,0
"rwa",2007,0
"rwa",2008,0
"rwa",2009,0
"rwa",2010,0
"rwa",2011,0
"rwa",2012,0
"tza",1700,5
"tza",1800,5
"tza",1899,5
"tza",1900,5
"tza",1935,5
"tza",1936,5
"tza",1937,5
"tza",1938,5
"tza",1939,5
"tza",1940,5
"tza",1941,5
"tza",1942,5
"tza",1943,5
"tza",1944,5
"tza",1945,5
"tza",1946,5
"tza",1947,5
"tza",1948,5
"tza",1949,5
"tza",1950,0
"tza",1951,0
"tza",1952,0
"tza",1953,0
"tza",1954,0
"tza",1955,0
"tza",1956,0
"tza",1957,0
"tza",1958,0
"tza",1959,0
"tza",1960,0
"tza",1961,0
"tza",1962,0
"tza",1963,0
"tza",1964,0
"tza",1965,0
"tza",1966,0
"tza",1967,0
"tza",1968,0
"tza",1969,0
"tza",1970,0
"tza",1971,0
"tza",1972,0
"tza",1973,0
"tza",1974,0
"tza",1975,0
"tza",1976,0
"tza",1977,0
"tza",1978,0
"tza",1979,0
"tza",1980,0
"tza",1981,0
"tza",1982,0
"tza",1983,0
"tza",1984,0
"tza",1985,0
"tza",1986,0
"tza",1987,0
"tza",1988,0
"tza",1989,0
"tza",1990,0
"tza",1991,0
"tza",1992,0
"tza",1993,0
"tza",1994,0
"tza",1995,0
"tza",1996,0
"tza",1997,0
"tza",1998,0
"tza",1999,0
"tza",2000,0
"tza",2001,0
"tza",2002,0
"tza",2003,0
"tza",2004,0
"tza",2005,0
"tza",2006,0
